Entity ID,Type,Linked Art Class,prefLabel (en),prefLabel (ko),Primary URI,Mapping Status,broader URI,closeMatch URI,Evidence Type,Definition / Scope Note,internal_Definition / Scope Note,Chapter(s),Page References
dict:person/gertrud,Person,Person,Gertrud,거트루드,,noExternalAuthority,,,Textual,Fictional character from Carl Theodor Dreyer's film Gertrud (1964). Referenced in the text through the film's narrative of an unhappy marriage.,Fictional character from Dreyer's film Gertrud (1964). Unhappy wife betrayed by husband. Left-page narrative in ERATO's split-screen structure. Her secular suffering mirrors Thérèse's sacred suffering on facing page. NOTE: fictional character — ontological class review pending (FRBRoo F38_Character may be more precise than Person).,ERATO,ERATO left pages
PERSONS: Theorists (Framework),,,,,,,,,,,,,
dict:person/spivak,Person,Person,Gayatri Chakravorty Spivak,스피박,https://www.wikidata.org/wiki/Q240851,matched,,https://homosaurus.org/v3/homoit0002039,Scholarly,"Gayatri Chakravorty Spivak, postcolonial theorist. Best known for 'Can the Subaltern Speak?' (1988), which examines the representational limits of Western intellectual frameworks in relation to colonized subjects.",'Can the Subaltern Speak?' (1988). Representational crisis: Vertreten (political proxy) vs Darstellen (portrayal). Framework for Diseuse's mediation and translational-violence concept.,—,Theoretical framework
dict:person/spillers,Person,Person,Hortense Spillers,스필러스,https://www.wikidata.org/wiki/Q13560230,matched,,https://homosaurus.org/v3/homoit0003616 ; https://homosaurus.org/v3/homoit0002039 ; https://homosaurus.org/v3/homoit0002270,Scholarly,"Hortense Spillers, Black feminist theorist. Best known for 'Mama's Baby, Papa's Maybe: An American Grammar Book' (1987), which theorizes the distinction between flesh and body under conditions of slavery and colonial violence.","'Mama's Baby, Papa's Maybe: An American Grammar Book' (1987). flesh/body distinction: enslaved women as 'female but not woman,' reduced to 'zero degree of social conceptualisation.' Ungendering concept. Primary theoretical source for dict:concept/ungendering — applied to URANIA's blood/ink transformation (pp.64-65).",—,Theoretical framework
dict:person/lugones,Person,Person,María Lugones,루고네스,https://www.wikidata.org/wiki/Q6761379,matched,,https://homosaurus.org/v3/homoit0003616 ; https://homosaurus.org/v3/homoit0002039,Scholarly,"María Lugones, decolonial feminist philosopher. Key works include 'Coloniality of Gender' (2007) and 'Toward a Decolonial Feminism' (2010), which argue that gender itself is a colonial imposition and theorize active subjectivity within decolonial practice.",'Coloniality of Gender' (2007); 'Toward a Decolonial Feminism' (2010). Gender itself as colonial introduction. Fractured Locus: active subjectivity between colonial designation and communal memory. Framework for shamanic mediation and cyclical time concepts.,—,Theoretical framework
dict:person/mohanty,Person,Person,Chandra Talpade Mohanty,모한티,https://www.wikidata.org/wiki/Q1086920,matched,,https://homosaurus.org/v3/homoit0003616 ; https://homosaurus.org/v3/homoit0002039,Scholarly,"Chandra Talpade Mohanty, feminist theorist. Best known for 'Under Western Eyes' (1984), which critiques the discursive colonization of third-world women by Western feminist scholarship.",'Under Western Eyes' (1984). 'Discursive colonisation': Western feminism constructs homogenised 'average third-world woman' as passive victim. Framework for anti-autobiography strategy.,—,Theoretical framework
dict:person/wynter,Person,Person,Sylvia Wynter,윈터,https://www.wikidata.org/wiki/Q3507232,matched,,https://homosaurus.org/v3/homoit0003616 ; https://homosaurus.org/v3/homoit0002039,Scholarly,"Sylvia Wynter, Jamaican writer and scholar. Best known for 'Unsettling the Coloniality of Being/Power/Truth/Freedom' (2003), which critiques the Western overrepresentation of a particular mode of being as universally Human.","'Unsettling the Coloniality of Being/Power/Truth/Freedom' (2003), CR: The New Centennial Review 3(3): 257-337. 'Overrepresentation of Man': Western bourgeoisie's mode of being presented as coterminous with Human. Man1 (rational political subject) → Man2 (bio-economic subject). Limitation: gender treated as biologically grounded — addressed by Spillers and Lugones.",—,Theoretical framework
EVENTS,,,,,,,,,,,,,
dict:event/march-first-1919,Event,Period,March First Movement,3·1운동,https://www.wikidata.org/wiki/Q482525,matched,,,Textual,"Korean independence uprising against Japanese colonial rule, March 1, 1919. A foundational moment of anti-colonial resistance, referenced in the text through the figure of Yu Gwan-sun.","1919 Korean independence uprising against Japanese colonial rule. Yu Gwan-sun's participation and martyrdom. Temporal anchor: other events (1960, 1980) are 'recurrences' of this foundational structure of colonial violence.","CLIO, MELPOMENE, ELITERE","pp.28-38, 87"
dict:event/april-19-1960,Event,Period,April Revolution,4·19혁명,https://www.wikidata.org/wiki/Q489416,matched,,,Textual,"Student-led uprising against the Syngman Rhee government, April 19, 1960. Referenced in the text in connection with the Cha family's experience of political upheaval in Korea.","1960 student uprising against Syngman Rhee. Brother's participation. 'De.Mo' (p.84): syllabic decomposition of Democracy as empty signifier. 'Dear Mother, 4.19. Four Nineteen... eighteen years later' (p.83).",MELPOMENE,pp.83-84
dict:event/korean-war-1950,Event,Period,Korean War,한국전쟁,http://www.wikidata.org/entity/Q8663,matched,,,Textual,"Korean War (1950–1953). Theresa Hak Kyung Cha was born during the war in Busan, where her family had taken refuge. Referenced in the text as part of the family's history of displacement.",1950-1953. Mother's Busan refuge. Cha born 1951 during war — birth itself as product of displacement. 'It is not 6.25. Six twenty five. June 25th 1950. Not today. Not this day.' (p.83). Negation as temporal invocation.,"CALLIOPE, MELPOMENE",p.83
dict:event/gwangju-1980,Event,Period,Gwangju Uprising,광주항쟁,https://www.wikidata.org/wiki/Q174990,matched,,,Textual,"Pro-democracy uprising in Gwangju, South Korea, May 1980, brutally suppressed by military forces. Cha visited Korea shortly after and witnessed the aftermath. Referenced in the text as a moment of political crisis and historical repetition.","1980 pro-democracy movement brutally suppressed. Cha (age 29) returned to Korea, witnessed aftermath. 'Nothing has changed, we are at a standstill.' (p.87). Third iteration of national self-division after 1919, 1960.",MELPOMENE,"pp.83, 87"
dict:event/japanese-colonization,Event,Period,Japanese Colonial Rule of Korea,일제강점기,https://www.wikidata.org/wiki/Q503585,matched,,,Textual,Japanese colonial rule of Korea (1910–1945). The colonial language policy — forbidding Korean while enforcing Japanese — forms a central historical context for the text's engagement with linguistic displacement and intergenerational loss.,1910-1945. Mother's language prohibition: 'They say you spoke in tongue forbidden' (p.45). Yu Gwan-sun's imprisonment and death. Structural context for translational violence across generations.,"CLIO, CALLIOPE","pp.37, 45"
dict:event/gojong-funeral-1919,Event,Period,Emperor Gojong's State Funeral,고종 국장,,noExternalAuthority,,,Textual,"State funeral of Emperor Gojong, March 3, 1919. The mass public gathering became a catalyst for the March 1st Movement. Referenced in the text through a contemporary newspaper photograph.","March 3, 1919. Mass gathering before March 1st Movement. Osaka Asahi Shimbun photograph (p.122) shows Koreans at memorial pavilion, Seoul. Photographic evidence of colonial-era mourning as political assembly.",ELITERE,p.122
dict:event/cha-family-exile-1962,Event,Period,Cha's Family Exile to US,차학경 가족 미국 망명,,noExternalAuthority,,,Biographical,"The Cha family's emigration from Korea to the United States in 1962. Theresa Hak Kyung Cha, then around age eleven, subsequently settled in San Francisco. Referenced in the text as part of the family's diasporic trajectory.","1962. Mother and brother depart first; Cha (age 11-12) follows to Hawaii, then San Francisco. Defined as 'Exile' not 'Immigration' — forced departure triggered by brother's political activity. Sacred Heart Convent enrollment follows.","CALLIOPE, MELPOMENE",Biographical
CONCEPTS: Theoretical Framework,,,,,,,,,,,,,
dict:concept/postcolonial-feminism,Concept,Type,Postcolonial Feminism,탈식민 페미니즘,https://www.wikidata.org/wiki/Q7234128,closeMatch,,https://homosaurus.org/v3/homoit0003616,Direct Term,"A critical framework that examines the intersection of colonialism, gender, and knowledge production. Associated with theorists including Spivak and Mohanty, it critiques Western feminist frameworks for their complicity in imperial structures.",Critique of Western imperialism's subjugation of subjects through language and knowledge systems. Mohanty (1984) + Spivak (1988). Upper-level framework for entire Dictée analysis — all other theoretical concepts operate within this frame.,ALL,—
dict:concept/translational-violence,Concept,Type,Translational Violence,번역 폭력,,noExternalAuthority,,,Synthesis,"Epistemic violence enacted through forced linguistic assimilation across generations. Draws on Spivak's concept of epistemic violence and Fanon's analysis of colonial internalization, applied to the intergenerational linguistic displacement experienced by Cha and her mother under colonial and diasporic conditions.","Intergenerational epistemic violence through forced linguistic assimilation. Mother (Huh Hyung Soon): Japanese enforced → Korean forbidden → Chinese ambient (Manchukuo). Cha: Korean suppressed → English enforced → French acquired (Sacred Heart). Spivak's epistemic violence materialized across two generations. Synthesis of Spivak (1988) + Fanon, Black Skin White Masks (1952) + Cha's text.","CALLIOPE, URANIA","pp.35, 45"
dict:concept/shamanic-mediation,Concept,Type,Shamanic mediation,샤머니즘적 매개,,noExternalAuthority,,https://vocab.getty.edu/aat/300055999,Modeling,"A researcher-developed interpretive concept describing the authorial strategy in Dictée whereby the speaker empties the self to channel the voices of absent or silenced women. The term draws an analogy with shamanic mediation as a structural model, though it is not a term used in Cha's text itself. ","A researcher-developed interpretive concept describing the authorial strategy in Dictée whereby the speaker empties the self to channel the voices of absent or silenced women. The term draws an analogy with shamanic mediation as a structural model, though it is not a term used in Cha's text itself. Evidence type: Modeling.","MELPOMENE, ELITERE, POLYMNIA","pp.86-87, 123"
dict:concept/fractured-locus,Concept,Type,Fractured Locus,균열된 장소,,noExternalAuthority,,,Direct Term,Term developed by María Lugones (2010) to describe the tension between colonial designation and active subjectivity within communal memory. Refers to the space of agency available to those positioned outside dominant social categories.,"'Her identity... is exchangeable with any other heroine in history, their names, dates, actions which require not definition in their deviation to generosity and self-sacrifice.' (p.30). Lugones (2010): tension between colonial designation as 'non-human' and active subjectivity within communal memory. NOT erasure of individuality but refusal of singular hero narrative.","CLIO, ERATO",p.30
dict:concept/cyclical-time,Concept,Type,Cyclical time,순환적 시간,,noExternalAuthority,,,Modeling,A non-linear conception of time in which historical events recur as structural repetitions rather than sequential causes and effects. Draws on Lugones (2010). Applied in this dataset to the recurring pattern of colonial violence across different historical moments.,"'Dead time. Hollow depression interred... resistant to memory. Waits.' (p.123). Time buried underground, requiring excavation by diseuse's invocation. Connected to Persephone in underworld. 'Until.' — permanent incompletion. Theoretical basis: Lugones (2010) [primary]; Kusch (tr.2010, orig.1978) via Lugones — Andean context, NOT directly applied to Korean text.","ELITERE, THALIA",p.123
dict:concept/ungendering,Concept,Type,Ungendering,탈성별화,,noExternalAuthority,,,Direct Term,Term developed by Hortense Spillers (1987) to describe the exclusion of enslaved and colonized women from normative gender categories entirely. Distinct from gender nonconformity: ungendering refers to a structural violence rather than a chosen identity position.,"Spillers (1987): exclusion from gender categories entirely under colonial/slave violence. Enslaved women as 'female but not woman' — reduced to 'zero degree of social conceptualisation.' Applied to URANIA chapter: 'Sang. Encre.' (Blood. Ink.) — Cha's body treated as flesh (살덩어리) under medical/colonial gaze, not as gendered subject. Blood extraction (forced, external) → transformation into ink (self-determined) marks transition from ungendering to re-gendering.",URANIA,pp.64-65
dict:concept/diasporic-experience,Concept,Type,Diasporic experience,디아스포라 경험,,noExternalAuthority,,https://vocab.getty.edu/aat/300417672,Synthesis,"The condition of displacement and longing for return that cannot be fully realized. Draws primarily on Avtar Brah's concept of 'homing desire' (1996), which distinguishes between the mythologized idea of home and the possibility of literal return. Applied to multi-generational displacement across Manchuria, Korea, and the United States.","Brah, Cartographies of Diaspora (1996) [primary]: 'homing desire' — diaspora space as mythologized, not literal, return. Cha returns to Korea 1980 but witnesses Gwangju; Bari returns with medicine but cure unconfirmed. 'Until.' as grammar of unfinished waiting. Diaspora as structural incompletion. Clifford, 'Diasporas' (1994) [secondary — heritage/boundary frame, distinct from Brah]. Multi-displacement: Manchuria → Korea → Hawaii → US mainland.","ELITERE, POLYMNIA","pp.123, 133, 175"
dict:concept/untranslatability,Concept,Type,Untranslatability,번역불가능성,,noExternalAuthority,,,Direct Term,"The impossibility of full semantic transfer between languages. Draws on Spivak's Death of a Discipline (2003) and Apter's The Translation Zone (2006). In this dataset, refers to the deliberate use of multilingual ambiguity — including French homophones and verb tense distinctions — as a strategy of resistance in Cha's text.","Spivak, Death of a Discipline (2003); Apter, The Translation Zone (2006). Impossibility of full semantic transfer between languages. Deliberate mistranslation, broken grammar, and silence as strategies exposing this impossibility. In Dictée: cygnes/signes (homophones in French, untranslatable to English); J'écoutais (imparfait, active listening) vs I heard (simple past, passive receipt) — each language preserves an untranslatable political remainder. The text refuses easy comprehension by Western readers.","CALLIOPE, URANIA, ERATO",—
dict:concept/muse-subversion,Concept,Type,Muse Subversion,뮤즈 전복,,noExternalAuthority,,,Modeling,"Traditional Muses reclaimed as active channels for silenced women across colonial and gendered histories. Each Muse no longer represents a single genre but an unstable intersection of colonial history, martyrdom, and shamanism. THALIA (Comedy) opens with MELPOMENE (Tragedy) fresco — genre expectation deliberately violated.","Traditional Muses reclaimed as active channels for silenced women across colonial and gendered histories. Each Muse no longer represents a single genre but an unstable intersection of colonial history, martyrdom, and shamanism. THALIA (Comedy) opens with MELPOMENE (Tragedy) fresco — genre expectation deliberately violated.",,
OBJECTS & IMAGES,,,,,,,,,,,,,
dict:object/acupuncture-chart,Object,HumanMadeObject,Acupuncture Meridian Chart,경락도,,noExternalAuthority,,,Textual,"Acupuncture meridian chart from the Chinese medical tradition, included in the text as a visual document. Presents speech and emotion as physiological processes located in specific organs of the body.",Ming dynasty (1341) Shisijing Fahui / Han dynasty Nanjing. Speech as physiological process. Tunstall: 'grief is located in the lungs' in Eastern medicine. Paired with vocal anatomy diagram — two knowledge systems approaching the same question.,URANIA,p.63
dict:object/vocal-anatomy,Object,HumanMadeObject,Vocal Organ Anatomy Diagram,발화기관 해부도,,noExternalAuthority,https://vocab.getty.edu/aat/300054465,,Textual,"Western anatomical diagram of the speech organs, included in the text as a visual document. Appears alongside an Eastern meridian chart, juxtaposing two distinct knowledge systems for understanding how the body produces speech.",Western anatomical cross-section of speech organs. Materialization of speech as bodily labor. Juxtaposed with Eastern meridian chart: two knowledge systems approaching the same question (how does the body produce speech?).,URANIA,p.74
dict:object/yu-portrait,Object,HumanMadeObject,Yu Gwan-sun Portrait Photo,유관순 초상사진,,noExternalAuthority,http://vocab.getty.edu/aat/300046300,,Textual,"Photograph of Yu Gwan-sun, taken as a Japanese police record card photograph in 1919. Reproduced in the text as a memorial image. Yu Gwan-sun was a Korean independence activist who died in colonial detention.",1919 Japanese police record card photograph. Colonial documentation repurposed as memorial icon. Also appears enlarged from group photo on back cover — Yu stands at right of back row (Ewha Hakdang students).,CLIO,"p.24, back cover"
dict:object/mother-portrait,Object,HumanMadeObject,Huh Hyung Soon Portrait Photo,허형순 초상사진,,noExternalAuthority,http://vocab.getty.edu/aat/300046300,,Textual,"Photograph of Huh Hyung Soon, Cha's mother, taken circa 1940 at approximately age eighteen. Reproduced in the text as an opening image. The same photograph also appears in Cha's 1977 video work Chronology.","Circa 1940 photograph, age ~18. Also used in Cha's 1977 video Chronology — recurring maternal image across works. Placed at chapter opening as visual anchor for mother's diasporic narrative.",CALLIOPE,p.44
dict:object/execution-photo,Object,HumanMadeObject,Korean Execution Photo,한국인 처형사진,,noExternalAuthority,http://vocab.getty.edu/aat/300046300,,Textual,"Photograph published in the French magazine La vie illustrée in 1904, depicting a Korean execution during the Russo-Japanese War. Documents colonial violence through the medium of imperial press photography.","1904 photograph from French magazine La vie illustrée, showing Korean execution during Russo-Japanese War. Colonial violence documented and consumed by imperial media.",CLIO,p.39
dict:object/korea-map,Object,HumanMadeObject,Map of Divided Korea,분단 한반도 지도,,noExternalAuthority,http://vocab.getty.edu/aat/300028094,,Textual,Map of the Korean peninsula showing the division line between North and South Korea. Reproduced in the text as a visual document of national division.,Korea with division line drawn across center. Visual evidence opening MELPOMENE chapter. 'She' = personification of divided peninsula. 'SHE opposes Her. SHE against her.' (p.87).,MELPOMENE,p.78
dict:object/therese-joan-photo,Object,HumanMadeObject,Thérèse as Joan of Arc Photo,테레사-잔다르크 사진,,noExternalAuthority,http://vocab.getty.edu/aat/300046300,,Textual,Photograph taken in 1895 of Saint Thérèse of Lisieux costumed as Joan of Arc in a play she performed for her sister. Reproduced in the text as a document of performative identity.,1895 photograph: Saint Thérèse costumed as Joan of Arc in play written for her sister. Identity layering: saint performs as martyr. Entry point for name chain: Cha(Theresa) → Thérèse → Joan → Falconetti → Gertrud.,ERATO,p.93
dict:object/dreyer-still,Object,HumanMadeObject,Dreyer Joan of Arc Film Still,드레이어 스틸컷,,noExternalAuthority,https://vocab.getty.edu/aat/300134997,,Textual,"Film still from Carl Theodor Dreyer's La Passion de Jeanne d'Arc (1928), showing Renée Jeanne Falconetti in close-up as Joan of Arc. Reproduced in the text as a visual document of silenced speech.",Still from La Passion de Jeanne d'Arc (1928). Falconetti's face in close-up. Silent woman in silent film — foreclosed speech visualized. Chapter's final image.,ERATO,p.119
dict:object/cave-hand,Object,HumanMadeObject,El Castillo Cave Hand Painting,엘 카스티요 손그림,,noExternalAuthority,https://vocab.getty.edu/aat/300080208,,Textual,"Hand stencil painting from El Castillo cave, Spain, estimated at approximately 27,000 years old. One of the earliest known examples of human mark-making. Reproduced in the text as a visual document.","~27,000-year-old hand stencil, Spain. Part of Cha's ongoing project on 'representation of hands in Western painting' (Lee-Lenfield). Primordial mark-making. Connected to THALIA's 'Scratch. Marking. Uncontainable.' (p.150).",ELITERE,p.134
dict:object/osaka-asahi-photo,Object,HumanMadeObject,Osaka Asahi Shimbun Photograph,오사카아사히 사진,,noExternalAuthority,https://vocab.getty.edu/aat/300054229,,Textual,"Photograph published in the Osaka Asahi Shimbun on March 3, 1919, showing Koreans gathered at a memorial pavilion in Seoul following Emperor Gojong's state funeral. Reproduced in the text as a document of colonial-era public mourning.","March 3, 1919 Japanese newspaper. Koreans gathered at memorial pavilion, Seoul, after Emperor Gojong's funeral. Colonial documentation as inadvertent archive of resistance. Facing page: 'Dead time' text.",ELITERE,p.122
dict:object/melpomene-fresco,Object,HumanMadeObject,Melpomene Fresco (Getty Museum),멜포메네 프레스코,https://www.getty.edu/art/collection/object/103SQ3,matched,http://vocab.getty.edu/aat/300177433,,Textual,"Roman fresco depicting Melpomene, the Muse of Tragedy, removing a smiling mask to reveal an unsmiling face beneath. Housed at the Getty Museum. Reproduced in the text as a visual opening to a chapter structured around comedy.",Fresco of Melpomene (Tragedy) removing smiling mask to reveal unsmiling face. Comedy chapter (THALIA) opens with Tragedy's image — genre expectation deliberately violated. Key evidence for dict:concept/muse-subversion.,THALIA,p.138
dict:object/nile-ruins-photo,Object,HumanMadeObject,Egypt Nile Ruins Photo,나일강 유적사진,,noExternalAuthority,http://vocab.getty.edu/aat/300046300,,Textual,Photograph by Francis Frith (1857) of Egyptian ruins along the Nile. Reproduced in the text as a visual document of ancient civilization and temporal depth.,"1857 Francis Frith photograph of Egyptian ruins along Nile. Ancient civilization as temporal depth — extends temporal stratigraphy beyond cave hand (27,000 years). NOTE: relationship to other concepts/objects not yet instantiated in File 5.",POLYMNIA,POLYMNIA opening
dict:object/calligraphy-nyu-nam,Object,HumanMadeObject,Father's Calligraphy: 女男,아버지 서예: 여남,,noExternalAuthority,https://vocab.getty.edu/aat/300266660,,Textual,Brush calligraphy by Cha Hyung Sang (Cha's father) rendering the characters 女男 (Woman-Man). The sequence reverses the conventional Korean order of 男女 (Man-Woman). Reproduced in the text as a visual document.,Cha Hyung Sang's brush calligraphy 女男 (Woman-Man) centered on pp.26-27. Gendered order reversed from conventional Korean 男女. Father's hand inscribes alternative gender grammar — connected to dict:concept/ungendering (subversion of colonial gender order).,CLIO,pp.26-27
dict:object/calligraphy-bumo,Object,HumanMadeObject,Father's Calligraphy: 父母,아버지 서예: 부모,,noExternalAuthority,https://vocab.getty.edu/aat/300266660,,Textual,Brush calligraphy by Cha Hyung Sang (Cha's father) rendering the characters 父母 (Father-Mother). Reproduced in the text as a visual document within a chapter centered on the mother's narrative.,Cha Hyung Sang's brush calligraphy 父母 (Father-Mother) centered on pp.54-55. Parental dyad as visual anchor in mother's narrative chapter.,CALLIOPE,pp.54-55
dict:object/calligraphy-dao,Object,HumanMadeObject,Father's Calligraphy: Daoist Concepts,도교 서예,,noExternalAuthority,https://vocab.getty.edu/aat/300266660,,Textual,"Brush calligraphy by Cha Hyung Sang (Cha's father) rendering ten Daoist cosmological concepts including Taiji, written in Chinese characters. Reproduced in the text as a visual document of cosmological thought.","Ten Daoist cosmic concepts including Taiji. Written in Chinese characters (p.154), Cantonese pronunciation transcribed in POLYMNIA (p.173). Cosmological framework for cyclical structure.","TERPSICHORE, POLYMNIA","pp.154, 173"
dict:object/handwritten-ms,Object,HumanMadeObject,Handwritten Manuscript Pages,필기체 원고,,noExternalAuthority,http://vocab.getty.edu/aat/300028569,,Textual,"Pages of English cursive handwriting with visible deletions and line breaks, reproduced in the text as a visual document. Makes visible the process of composition and revision as material labor.","English cursive handwriting with visible deletions, line breaks. Editorial process made visible — composition as labor, not finished product. Materiality of writing exposed.",CLIO,pp.40-41
